Khmer Chicken Curry|Khmer|Maryland|Heat pot,add oil,add paste,add village,stir 1 min on medium temperature,add chicken,add potatoes,add beans,add onion,add water and remaining coconut,add season with fish sauce,stir and let it simmer
Goi Cuon|Vietnamese|20 Rice Paper Wrappers,200g Rice Vermicelli,200g Shrimp,200g Pork Belly,Lettuce,Mint,Cilantro,Peanut Sauce (1/2 cup Peanut Butter,1/4 cup Hoisin Sauce,Water,Sugar,Lime)|Soak rice paper. Fill with vermicelli,shrimp,pork,and herbs. Serve with peanut sauce.
Bun Cha|Vietnamese|500g Ground Pork,200g Rice Noodles,Nuoc Cham (3 tbsp Fish Sauce,3 tbsp Lime Juice,3 tbsp Sugar,2 Chili Peppers),Pickled Carrots,Herbs|Grill pork patties. Serve with noodles,nuoc cham,pickled carrots,and herbs.
Banh Mi|Vietnamese|1 Baguette,200g Pork or Chicken,Pickled Carrots & Daikon (1 cup each),Cilantro,Chili Peppers,Mayonnaise,Soy Sauce|Fill baguette with protein,pickled vegetables,cilantro,and chili peppers. Add mayonnaise and soy sauce.
Com Tam|Vietnamese|2 cups Broken Rice,200g Pork Chop,1 Fried Egg,Pickled Vegetables,Nuoc Cham|Grill pork chop. Serve with broken rice,fried egg,pickled vegetables,and nuoc cham.
Bun Bo Hue|Vietnamese|1 kg Beef Bones,500g Beef Shank,200g Rice Vermicelli,2 Lemongrass Stalks,1 tbsp Shrimp Paste,3 tbsp Fish Sauce,Chili Oil,Herbs|Simmer beef bones with lemongrass and shrimp paste. Cook noodles. Slice beef. Assemble noodles,broth,beef,and herbs.
Banh Xeo|Vietnamese|200g Rice Flour,1 cup Coconut Milk,1 tsp Turmeric,200g Shrimp,200g Pork Belly,Bean Sprouts,Lettuce,Nuoc Cham|Mix rice flour,coconut milk,and turmeric. Cook on a griddle with shrimp,pork,and bean sprouts. Serve with lettuce and nuoc cham.
Cao Lau|Vietnamese|200g Cao Lau Noodles,200g Pork,1/4 cup Crispy Pork Skin,Bean Sprouts,Herbs,Cao Lau Broth (Soy Sauce,Fish Sauce,Sugar)|Prepare noodles. Slice pork. Assemble noodles,pork,crispy skin,bean sprouts,and herbs. Pour broth over.
Mi Quang|Vietnamese|200g Quang Noodles,200g Shrimp,200g Pork Belly,1/4 cup Peanuts,Rice Crackers,Herbs,Mi Quang Broth (Turmeric,Fish Sauce,Sugar)|Prepare noodles. Cook shrimp and pork. Assemble noodles,shrimp,pork,peanuts,and herbs. Pour broth over.
Cha Gio|Vietnamese|20 Rice Paper Wrappers,200g Ground Pork,100g Shrimp,1/2 cup Mushrooms,Carrots,Onions,Fish Sauce|Mix filling ingredients. Wrap in rice paper. Fry until golden. Serve with nuoc cham.
Bo Luc Lac (Shaking Beef)|Vietnamese|500g Beef Tenderloin,1 Onion,1 Bell Pepper,3 tbsp Soy Sauce,2 tbsp Oyster Sauce,1 tbsp Lime Juice,Black Pepper|Marinate beef. Stir-fry with onions and bell peppers. Season with soy sauce,oyster sauce,and lime juice.
Goi Ga|Vietnamese|500g Chicken,1/2 Cabbage,1 Carrot,1/4 cup Peanuts,Mint,Cilantro,Nuoc Cham|Boil chicken. Shred chicken. Mix with cabbage,carrots,peanuts,and herbs. Dress with nuoc cham.
Banh Cuon|Vietnamese|200g Rice Flour,1/2 cup Tapioca Starch,500g Ground Pork,1/4 cup Mushrooms,Nuoc Cham|Mix rice flour and tapioca starch. Steam thin crepes. Fill with pork and mushrooms. Serve with nuoc cham.
Cha Ca La Vong|Vietnamese|500g Fish (Catfish),Turmeric,Dill,Green Onions,Peanuts,Nuoc Cham|Marinate fish in turmeric. Fry fish with dill and green onions. Serve with peanuts and nuoc cham.
Oc Len Xao Dua|Vietnamese|1 kg Snails,1 cup Coconut Milk,Lemongrass,Chili Peppers,Fish Sauce,Sugar|Cook snails with lemongrass and chili peppers. Add coconut milk. Season with fish sauce and sugar.
Banh Beo|Vietnamese|200g Rice Flour,1/2 cup Tapioca Starch,200g Shrimp,Crispy Pork Skin,Nuoc Cham|Mix rice flour and tapioca starch. Steam small rice cakes. Top with shrimp and crispy pork skin. Serve with nuoc cham.
Che Chuoi|Vietnamese|4 Bananas,1 cup Coconut Milk,1/4 cup Tapioca Pearls,Sugar,Peanuts|Cook tapioca pearls. Slice bananas. Simmer bananas in coconut milk and sugar. Add tapioca pearls. Top with peanuts.
Xoi Ga|Vietnamese|2 cups Sticky Rice,500g Chicken,Turmeric,Green Onions,Fried Shallots|Cook sticky rice. Boil chicken with turmeric. Top rice with chicken,green onions,and fried shallots.
Canh Chua|Vietnamese|500g Fish (Catfish),1 cup Tamarind Juice,Tomatoes,Pineapple,Bean Sprouts,Okra,Fish Sauce,Sugar,Herbs|Boil tamarind juice. Add fish,tomatoes,and pineapple. Add bean sprouts,okra,and herbs. Season with fish sauce and sugar.
Bo Kho|Vietnamese|1 kg Beef Shank,2 Carrots,1 Onion,Lemongrass,Star Anise,Cinnamon,Red Wine,Fish Sauce,Sugar|Brown beef. Sauté onion and lemongrass. Add spices and red wine. Simmer until beef is tender. Add carrots. Season with fish sauce and sugar.
Tom Yum Goong|Thai|500g Shrimp,4 cups Water or Broth,2 stalks Lemongrass,1 inch Galangal,5 Kaffir Lime Leaves,4 Chili Peppers,3 tbsp Fish Sauce,2 tbsp Lime Juice,200g Mushrooms,Cilantro|Boil lemongrass,galangal,and kaffir lime leaves. Add shrimp and mushrooms. Season with fish sauce,lime juice,and chili peppers. Garnish with cilantro.
Pad Thai|Thai|200g Rice Noodles,200g Shrimp or Chicken,2 Eggs,1/2 cup Tofu,1/2 cup Bean Sprouts,1/4 cup Peanuts,3 tbsp Fish Sauce,2 tbsp Tamarind Paste,2 tbsp Sugar,2 cloves Garlic|Soak noodles. Stir-fry garlic,tofu,and protein. Add eggs and noodles. Season with fish sauce,tamarind,and sugar. Add bean sprouts and peanuts.
Green Curry|Thai|500g Chicken,4 tbsp Green Curry Paste,2 cans Coconut Milk,1 cup Thai Eggplant,1/2 cup Bamboo Shoots,5 Kaffir Lime Leaves,1 cup Thai Basil,3 tbsp Fish Sauce,1 tbsp Sugar|Sauté green curry paste with coconut milk. Add chicken,eggplant,and bamboo shoots. Season with fish sauce and sugar. Add kaffir lime leaves and Thai basil. Serve with rice.
Massaman Curry|Thai|500g Beef or Chicken,4 tbsp Massaman Curry Paste,2 cans Coconut Milk,2 Potatoes,1 Onion,1/2 cup Peanuts,2 Cardamom Pods,1 Cinnamon Stick,1 Star Anise,3 tbsp Fish Sauce,2 tbsp Palm Sugar|Sauté massaman curry paste with coconut milk. Add meat,potatoes,and onions. Add spices and peanuts. Season with fish sauce and palm sugar. Serve with rice.
Yellow Curry|Thai|500g Fish or Shrimp,4 tbsp Yellow Curry Paste,2 cans Coconut Milk,2 Potatoes,1 Onion,1 tsp Turmeric,3 tbsp Fish Sauce,2 tbsp Palm Sugar|Sauté yellow curry paste with coconut milk. Add fish or shrimp,potatoes,and onions. Season with fish sauce and palm sugar. Serve with rice.
Chicken Satay|Thai|500g Chicken,1/2 cup Peanut Butter,1/4 cup Coconut Milk,2 tbsp Soy Sauce,1 tbsp Sugar,1 tbsp Lime Juice,1 tsp Turmeric,1 tsp Coriander|Marinate chicken in turmeric and coriander. Grill or bake chicken skewers. Serve with peanut sauce (peanut butter,coconut milk,soy sauce,sugar,lime juice).
Tom Kha Gai|Thai|500g Chicken,2 cans Coconut Milk,1 inch Galangal,2 stalks Lemongrass,5 Kaffir Lime Leaves,200g Mushrooms,3 tbsp Fish Sauce,2 tbsp Lime Juice,Cilantro|Boil galangal,lemongrass,and kaffir lime leaves in coconut milk. Add chicken and mushrooms. Season with fish sauce and lime juice. Garnish with cilantro.
Larb|Thai/Laos|500g Ground Pork or Chicken,3 tbsp Lime Juice,3 tbsp Fish Sauce,1 tbsp Chili Flakes,2 tbsp Roasted Rice Powder,1/2 cup Mint,1/2 cup Cilantro,1/4 cup Green Onions|Cook ground meat. Mix with lime juice,fish sauce,chili flakes,roasted rice powder,and herbs. Serve with sticky rice.
Papaya Salad|Thai/Laos|1 Green Papaya,2 Tomatoes,1/2 cup Green Beans,1/4 cup Peanuts,2 Chili Peppers,3 tbsp Lime Juice,3 tbsp Fish Sauce,2 tbsp Palm Sugar|Pound green papaya,tomatoes,and green beans in a mortar and pestle. Add peanuts,chili peppers,lime juice,fish sauce,and palm sugar. Mix well.
Pad Kra Pao|Thai|500g Ground Pork or Chicken,1 cup Thai Basil,4 Chili Peppers,4 cloves Garlic,3 tbsp Soy Sauce,2 tbsp Oyster Sauce,1 tbsp Fish Sauce,1 tsp Sugar,2 Eggs|Stir-fry garlic and chili peppers. Add ground meat. Season with soy sauce,oyster sauce,fish sauce,and sugar. Add Thai basil. Serve with rice and a fried egg.
Mango Sticky Rice|Thai|1 cup Sticky Rice,2 cans Coconut Milk,1/2 cup Sugar,1/2 tsp Salt,2 Ripe Mangoes|Cook sticky rice. Heat coconut milk with sugar and salt. Pour coconut milk over cooked rice. Serve with sliced ripe mango.
Pad See Ew|Thai|200g Wide Rice Noodles,200g Chinese Broccoli,2 Eggs,3 tbsp Dark Soy Sauce,2 tbsp Soy Sauce,2 cloves Garlic,200g Protein (Chicken,Pork,Beef,or Tofu)|Stir-fry garlic and protein,add eggs and scramble. Add noodles and Chinese broccoli,then sauces. Stir-fry until noodles are tender and coated in sauce.
Khao Soi|Thai|200g Egg Noodles,500g Chicken,2 cans Coconut Milk,2 tbsp Khao Soi Curry Paste,1/4 cup Pickled Mustard Greens,1/4 cup Fried Shallots,Lime Wedges|Boil egg noodles. Sauté curry paste with coconut milk. Add chicken. Serve noodles in broth,topped with pickled mustard greens,fried shallots,and lime.
Gaeng Panang|Thai|500g Beef or Chicken,4 tbsp Panang Curry Paste,2 cans Coconut Milk,5 Kaffir Lime Leaves,1/2 cup Peanuts,3 tbsp Fish Sauce,1 tbsp Palm Sugar|Sauté panang curry paste with coconut milk. Add meat and kaffir lime leaves. Season with fish sauce and palm sugar. Add peanuts.
Pla Rad Prik|Thai|1 Whole Fish (Snapper,Tilapia),4 Chili Peppers,4 cloves Garlic,3 tbsp Fish Sauce,2 tbsp Tamarind Paste,2 tbsp Sugar,Cilantro|Fry fish until crispy. Sauté garlic and chili peppers. Add fish sauce,tamarind,and sugar. Pour sauce over fish.
Kai Med Ma Muang|Thai|500g Chicken,1 cup Cashews,1 Onion,1 Bell Pepper,3 tbsp Soy Sauce,2 tbsp Oyster Sauce,1 tbsp Sugar,1 tsp Chili Flakes|Stir-fry chicken,onion,and bell pepper. Add cashews. Season with soy sauce,oyster sauce,sugar,and chili flakes.
Hoy Tod|Thai|200g Mussels,1 cup Rice Flour,1 Egg,1/4 cup Bean Sprouts,1/4 cup Green Onions,Chili Sauce|Mix rice flour and egg. Cook mussels on a griddle. Add bean sprouts and green onions. Serve with chili sauce.
Sai Oua|Thai|500g Ground Pork,2 Lemongrass Stalks,1 inch Galangal,5 Kaffir Lime Leaves,2 Chili Peppers,2 tbsp Fish Sauce,1 tbsp Turmeric,1/2 cup Herbs (Cilantro,Mint)|Mix all ingredients. Stuff into sausage casings. Grill or fry until cooked.
Khao Pad Sapparod (Pineapple Fried Rice)|Thai|2 cups Rice,200g Shrimp or Chicken,1/2 Pineapple,1 Onion,1 Bell Pepper,2 Eggs,3 tbsp Soy Sauce,1 tbsp Curry Powder,Cashews|Stir-fry eggs,onion,and bell pepper. Add rice and protein. Season with soy sauce and curry powder. Add pineapple and cashews.
Spaghetti Carbonara|Italian|100g Spaghetti,50g Guanciale (or Pancetta),2 Eggs,50g Pecorino Romano,Black Pepper|Cook spaghetti al dente. Fry guanciale. Whisk eggs and pecorino. Combine with pasta and guanciale. Season with black pepper.
French Onion Soup|French|4 Onions,2 tbsp Butter,1 cup Beef Broth,1/2 cup White Wine,Baguette,Gruyère Cheese|Caramelize onions in butter. Add beef broth and wine. Simmer. Serve with baguette and Gruyère.
Paella|Spanish|1 cup Rice,1 lb Chicken or Seafood,1 Onion,2 cloves Garlic,1 tsp Saffron,4 cups Broth,Vegetables (peas,peppers)|Sauté onion and garlic. Add chicken or seafood. Add rice and saffron. Pour in broth. Add vegetables. Simmer until rice is cooked.
Coq au Vin|French|1 Chicken,1 bottle Red Wine (Burgundy),200g Mushrooms,100g Bacon,1 Onion,2 cloves Garlic,Herbs (thyme,bay leaf)|Brown chicken and bacon. Sauté onion and garlic. Add mushrooms,wine,and herbs. Simmer until chicken is tender.
Shepherd's Pie|British|1 lb Ground Lamb or Beef,1 Onion,2 Carrots,1 cup Peas,1 cup Beef Broth,Mashed Potatoes|Brown ground meat. Sauté onion and carrots. Add peas and broth. Top with mashed potatoes. Bake until golden.
Moussaka|Greek|2 Eggplants,1 lb Ground Lamb or Beef,1 Onion,2 cloves Garlic,Tomato Sauce,Béchamel Sauce|Slice and fry eggplant. Brown ground meat. Layer eggplant,meat sauce,and béchamel. Bake until golden.
Wiener Schnitzel|Austrian|4 Veal Cutlets,Breadcrumbs,Eggs,Flour,Butter,Lemon|Pound veal cutlets. Coat in flour,eggs,and breadcrumbs. Fry in butter until golden. Serve with lemon.
Goulash|Hungarian|1 lb Beef,2 Onions,2 tbsp Paprika,1 cup Beef Broth,1 tbsp Caraway Seeds,Sour Cream|Brown beef. Sauté onions. Add paprika,broth,and caraway seeds. Simmer until beef is tender. Serve with sour cream.
Pizza Margherita|Italian|Dough,Tomato Sauce,Mozzarella Cheese,Fresh Basil,Olive Oil|Roll out dough. Spread tomato sauce. Add mozzarella and basil. Bake until cheese is melted. Drizzle with olive oil.
Ratatouille|French|1 Eggplant,1 Zucchini,1 Bell Pepper,2 Tomatoes,1 Onion,2 cloves Garlic,Herbs (thyme,rosemary)|Chop vegetables. Sauté onion and garlic. Add remaining vegetables and herbs. Simmer until tender.
Potato Gratin (Gratin Dauphinois)|French|1 kg Potatoes,2 cups Cream,2 cloves Garlic,Nutmeg,Gruyère Cheese (optional)|Slice potatoes. Layer potatoes with cream,garlic,nutmeg,and cheese (if using). Bake until golden.
Risotto|Italian|1 cup Arborio Rice,1 Onion,1/2 cup White Wine,4 cups Broth,Parmesan Cheese,Butter|Sauté onion. Add rice. Pour in wine. Gradually add broth. Stir until rice is creamy. Add Parmesan and butter.
Fish and Chips|British|1 lb Cod or Haddock,Flour,Beer Batter,Potatoes,Vegetable Oil,Salt|Coat fish in flour and beer batter. Fry until golden. Fry potatoes. Serve with salt.
Sauerkraut and Sausage|German|1 kg Sauerkraut,1 lb Sausage (Bratwurst),1 Onion,Caraway Seeds,Apple (optional)|Sauté onion. Add sauerkraut,sausage,caraway seeds,and apple (if using). Simmer until sausage is cooked.
Blanquette de Veau|French|1 kg Veal,1 Onion,2 Carrots,1 Leek,1 cup Cream,1 Egg Yolk,Herbs (bay leaf,thyme)|Brown veal. Sauté onion,carrots,and leek. Add water and herbs. Simmer until veal is tender. Mix cream and egg yolk. Add to sauce.
Pierogi|Polish|500g Flour,250ml Water,Fillings (potato and cheese,sauerkraut and mushroom),Onion,Butter|Mix flour and water. Roll out dough. Fill with desired filling. Boil pierogi. Fry onions in butter. Serve with pierogi.
Tarte Tatin|French|6 Apples,1 cup Sugar,1/2 cup Butter,Puff Pastry|Caramelize sugar and butter. Arrange apple slices. Cover with puff pastry. Bake until golden.
Irish Stew|Irish|1 lb Lamb,4 Potatoes,2 Onions,2 Carrots,1 cup Beef Broth,Herbs (thyme,parsley)|Brown lamb. Add potatoes,onions,carrots,broth,and herbs. Simmer until lamb is tender.
Pisto Manchego|Spanish|1 Eggplant,1 Zucchini,1 Bell Pepper,2 Tomatoes,1 Onion,2 cloves Garlic,Olive Oil|Chop vegetables. Sauté onion and garlic in olive oil. Add remaining vegetables. Simmer until tender.
Croque Monsieur|French|2 slices Bread,50g Ham,50g Gruyère Cheese,Béchamel Sauce|Spread béchamel on bread. Add ham and cheese. Top with another slice of bread. Spread more béchamel and cheese on top. Bake until golden.
Sushi|Japanese|Sushi rice,raw fish (tuna,salmon,etc.),seaweed (nori),soy sauce,wasabi,pickled ginger|Prepare sushi rice. Slice fish. Form nigiri or roll maki. Serve with soy sauce,wasabi,and ginger.
Ramen|Japanese|Ramen noodles,pork broth (tonkotsu),chashu (braised pork belly),soft-boiled egg,nori,scallions,menma (bamboo shoots)|Boil ramen noodles. Prepare pork broth. Assemble noodles,broth,chashu,egg,nori,scallions,and menma.
Udon|Japanese|Udon noodles,dashi broth,tempura,tofu,seaweed (wakame),scallions,soy sauce|Boil udon noodles. Prepare dashi broth. Add noodles,tempura,tofu,wakame,and scallions. Season with soy sauce.
Soba|Japanese|Soba noodles,dashi broth,tempura,nori,scallions,wasabi,soy sauce|Boil soba noodles. Prepare dashi broth. Serve noodles with tempura,nori,scallions,wasabi,and soy sauce.
Tempura|Japanese|Shrimp,vegetables (sweet potato,eggplant,etc.),tempura batter (flour,egg,ice water),tentsuyu (dipping sauce)|Prepare tempura batter. Dip shrimp and vegetables in batter. Fry until golden brown. Serve with tentsuyu.
Tonkatsu|Japanese|Pork cutlet,panko breadcrumbs,egg,flour,cabbage,tonkatsu sauce|Coat pork cutlet in flour,egg,and panko. Fry until golden brown. Serve with shredded cabbage and tonkatsu sauce.
Yakitori|Japanese|Chicken skewers,tare sauce (soy sauce,mirin,sugar),scallions|Skewer chicken pieces. Grill chicken. Brush with tare sauce. Garnish with scallions.
Okonomiyaki|Japanese|Cabbage,flour,egg,dashi broth,pork belly,seafood (shrimp,squid),okonomiyaki sauce,mayonnaise,bonito flakes,seaweed flakes|Mix cabbage,flour,egg,and dashi. Cook on a griddle with pork belly or seafood. Top with okonomiyaki sauce,mayonnaise,bonito flakes,and seaweed flakes.
Takoyaki|Japanese|Wheat flour batter,octopus,pickled ginger,green onions,takoyaki sauce,mayonnaise,bonito flakes|Cook batter in takoyaki pan with octopus,ginger,and onions. Top with takoyaki sauce,mayonnaise,and bonito flakes.
Gyoza|Japanese|Ground pork,cabbage,garlic,ginger,soy sauce,sesame oil,gyoza wrappers|Mix filling ingredients. Wrap filling in gyoza wrappers. Pan-fry until golden brown on one side,add water,cover,and steam until cooked through.
Karaage|Japanese|Chicken,soy sauce,ginger,garlic,potato starch,flour|Marinate chicken in soy sauce,ginger,and garlic. Coat in potato starch and flour. Fry until crispy.
Miso Soup|Japanese|Dashi broth,miso paste,tofu,seaweed (wakame),scallions|Prepare dashi broth. Dissolve miso paste. Add tofu,wakame,and scallions.
Chawanmushi|Japanese|Egg custard,dashi broth,chicken,shrimp,mushrooms,ginkgo nuts|Mix egg custard ingredients. Steam until set. Serve hot.
Oyakodon|Japanese|Chicken,egg,onions,dashi broth,soy sauce,mirin,rice|Cook chicken,onions,dashi broth,soy sauce,and mirin. Add eggs. Serve over rice.
Katsudon|Japanese|Pork cutlet (tonkatsu),egg,onions,dashi broth,soy sauce,mirin,rice|Cook tonkatsu,onions,dashi broth,soy sauce,and mirin. Add eggs. Serve over rice.
Sukiyaki|Japanese|Beef,tofu,vegetables (napa cabbage,mushrooms,onions),sukiyaki sauce (soy sauce,mirin,sugar,sake),egg|Cook beef,tofu,and vegetables in sukiyaki sauce. Dip in raw egg before eating.
Shabu-shabu|Japanese|Thinly sliced beef,vegetables (napa cabbage,mushrooms,tofu),ponzu sauce,sesame sauce|Cook beef and vegetables in boiling broth. Dip in ponzu or sesame sauce.
Onigiri|Japanese|Rice,seaweed (nori),fillings (umeboshi,tuna,salmon)|Form rice into triangles or balls. Wrap with nori. Fill with umeboshi,tuna,or salmon.
Tamagoyaki|Japanese|Eggs,dashi broth,soy sauce,mirin,sugar|Mix egg ingredients. Cook in a rectangular pan,rolling layers.
Mochi|Japanese|Sweet rice flour,sugar,fillings (red bean paste),cornstarch|Steam sweet rice flour. Form mochi. Fill with red bean paste. Coat in cornstarch.
Nasi Goreng|Indonesia|Rice,chicken or shrimp,eggs,vegetables (carrots,peas,onions),soy sauce,kecap manis (sweet soy sauce),chili peppers|Stir-fry vegetables and protein. Add rice,soy sauce,and kecap manis. Fry eggs separately. Serve fried rice topped with a fried egg.
Mie Goreng|Indonesia|Egg noodles,chicken or shrimp,eggs,vegetables (cabbage,carrots,bean sprouts),soy sauce,kecap manis,chili peppers|Stir-fry vegetables and protein. Add egg noodles,soy sauce,and kecap manis. Fry eggs separately. Serve fried noodles topped with a fried egg.
Adobo|Philippines|Chicken or pork,soy sauce,vinegar,garlic,bay leaves,black peppercorns|Marinate meat in soy sauce,vinegar,garlic,bay leaves,and black peppercorns. Simmer until meat is tender. Serve with rice.
Sinigang|Philippines|Pork or shrimp,tamarind broth,vegetables (kangkong,eggplant,radish),fish sauce,chili peppers|Boil tamarind broth. Add meat and vegetables. Season with fish sauce and chili peppers. Serve with rice.
Chicken Teriyaki|Japan|Chicken,teriyaki sauce (soy sauce,mirin,sugar,ginger),sesame seeds|Marinate chicken in teriyaki sauce. Grill or bake chicken. Garnish with sesame seeds. Serve with rice.
Japchae|Korea|Glass noodles,beef,vegetables (spinach,carrots,onions,mushrooms),soy sauce,sesame oil,sugar,garlic|Soak glass noodles. Stir-fry beef and vegetables. Mix with noodles,soy sauce,sesame oil,sugar,and garlic.
Tteokbokki|Korea|Rice cakes,gochujang (Korean chili paste),fish cakes,green onions,sugar,soy sauce|Boil rice cakes,fish cakes,and green onions in gochujang sauce. Season with sugar and soy sauce.
Chicken Tikka Masala|India|Chicken,tomato sauce,cream,yogurt,garam masala,ginger,garlic|Marinate chicken in yogurt and spices. Grill or bake chicken. Simmer chicken in tomato sauce and cream.
Butter Chicken|India|Chicken,tomato sauce,butter,cream,garam masala,ginger,garlic,fenugreek leaves|Cook chicken in tomato sauce,butter,and cream. Season with garam masala,ginger,garlic,and fenugreek leaves.
Sticky Rice with Chicken|Vietnamese|2 cups Sticky Rice,500g Chicken,Turmeric,Green Onions,Fried Shallots|Cook sticky rice. Boil chicken with turmeric. Top rice with chicken,green onions,and fried shallots.
Gaeng Daeng|Thai|500g Beef or Chicken,4 tbsp Red Curry Paste,2 cans Coconut Milk,1 cup Bamboo Shoots,1 Bell Pepper,5 Kaffir Lime Leaves,1 cup Thai Basil,3 tbsp Fish Sauce,1 tbsp Sugar|Sauté red curry paste with coconut milk. Add meat,bamboo shoots,and bell pepper. Season with fish sauce and sugar. Add kaffir lime leaves and Thai basil. Serve with rice.
Potato Gratin|French|1 kg Potatoes,2 cups Cream,2 cloves Garlic,Nutmeg,Gruyère Cheese (optional)|Slice potatoes. Layer potatoes with cream,garlic,nutmeg,and cheese (if using). Bake until golden.
